"debateID","speakersN","congress","session","weekday","day","month","year","title","date"
101,25,104,1,"Tuesday",11,"July",1995,"comprehensive regulatory reform act","1995-07-11"
102,21,104,1,"Wednesday",12,"July",1995,"comprehensive regulatory reform act","1995-07-12"
103,30,104,1,"Thursday",13,"July",1995,"comprehensive regulatory reform act","1995-07-13"
104,24,104,1,"Friday",14,"July",1995,"comprehensive regulatory reform act","1995-07-14"
105,21,104,1,"Monday",17,"July",1995,"comprehensive regulatory reform act","1995-07-17"
106,10,104,1,"Tuesday",18,"July",1995,"comprehensive regulatory reform act","1995-07-18"
107,14,104,1,"Thursday",20,"July",1995,"comprehensive regulatory reform act","1995-07-20"
108,10,104,1,"Friday",26,"May",1995,"comprehensive terrorism prevention act","1995-05-26"
109,18,104,1,"Tuesday",6,"June",1995,"comprehensive terrorism prevention act","1995-06-06"
110,24,104,1,"Wednesday",7,"June",1995,"comprehensive terrorism prevention act","1995-06-07"
111,6,104,2,"Tuesday",30,"April",1996,"conclusion of morning business","1996-04-30"
112,21,104,1,"Thursday",18,"May",1995,"concurrent resolution on the budget","1995-05-18"
113,18,104,1,"Friday",19,"May",1995,"concurrent resolution on the budget","1995-05-19"
114,30,104,1,"Monday",22,"May",1995,"concurrent resolution on the budget","1995-05-22"
115,14,104,1,"Tuesday",23,"May",1995,"concurrent resolution on the budget","1995-05-23"
116,49,104,1,"Wednesday",24,"May",1995,"concurrent resolution on the budget","1995-05-24"
117,33,104,1,"Thursday",25,"May",1995,"concurrent resolution on the budget","1995-05-25"
118,26,104,2,"Wednesday",15,"May",1996,"concurrent resolution on the budget","1996-05-15"
119,28,104,2,"Thursday",16,"May",1996,"concurrent resolution on the budget","1996-05-16"
120,29,104,2,"Friday",17,"May",1996,"concurrent resolution on the budget","1996-05-17"
121,34,104,2,"Monday",20,"May",1996,"concurrent resolution on the budget","1996-05-20"
122,22,104,2,"Tuesday",21,"May",1996,"concurrent resolution on the budget","1996-05-21"
123,30,104,2,"Wednesday",22,"May",1996,"concurrent resolution on the budget","1996-05-22"
124,31,104,2,"Thursday",23,"May",1996,"concurrent resolution on the budget","1996-05-23"
125,6,104,1,"Thursday",29,"June",1995,"concurrent resolution on the budget for fiscal year 1996--conference report","1995-06-29"
126,7,104,2,"Tuesday",11,"June",1996,"concurrent resolution on the budget for fiscal year 1997--conference report","1996-06-11"
127,12,104,2,"Wednesday",12,"June",1996,"concurrent resolution on the budget for fiscal year 1997--conference report","1996-06-12"
128,18,104,2,"Thursday",13,"June",1996,"concurrent resolution on the budget for fiscal year 1997--conference report","1996-06-13"
129,5,104,1,"Friday",22,"December",1995,"conferees have failed to protect free speech rights of internet users","1995-12-22"
130,6,104,1,"Monday",9,"January",1995,"congressional accountability act","1995-01-09"
131,19,104,1,"Tuesday",10,"January",1995,"congressional accountability act","1995-01-10"
132,11,104,1,"Wednesday",11,"January",1995,"congressional accountability act","1995-01-11"
133,8,104,1,"Thursday",5,"January",1995,"congressional accountability act of 1995","1995-01-05"
134,12,104,1,"Thursday",27,"July",1995,"congressional gift reform act","1995-07-27"
135,5,104,1,"Tuesday",25,"July",1995,"congressional gift reform act of 1995","1995-07-25"
136,9,104,1,"Thursday",27,"July",1995,"congressional gift reform act of 1995","1995-07-27"
137,12,104,1,"Friday",28,"July",1995,"congressional gift reform act of 1995","1995-07-28"
138,10,104,1,"Wednesday",29,"March",1995,"conservation reserve program","1995-03-29"
139,15,104,1,"Wednesday",25,"January",1995,"constitutional amendment to balance the budget","1995-01-25"
140,7,104,2,"Friday",19,"April",1996,"constitutional amendment to limit congressional terms","1996-04-19"
141,8,104,2,"Monday",22,"April",1996,"constitutional amendment to limit congressional terms","1996-04-22"
142,27,104,2,"Tuesday",23,"April",1996,"constitutional amendment to limit congressional terms","1996-04-23"
143,7,104,1,"Thursday",19,"January",1995,"corporation for public broadcasting","1995-01-19"
144,5,104,2,"Monday",16,"September",1996,"crime in america","1996-09-16"
145,11,104,1,"Wednesday",11,"October",1995,"cuban liberty and democratic solidarity [libertad] act of 1995","1995-10-11"
146,14,104,1,"Thursday",12,"October",1995,"cuban liberty and democratic solidarity [libertad] act of 1995","1995-10-12"
147,9,104,1,"Tuesday",17,"October",1995,"cuban liberty and democratic solidarity [libertad] act of 1995","1995-10-17"
148,5,104,1,"Wednesday",18,"October",1995,"cuban liberty and democratic solidarity [libertad] act of 1995","1995-10-18"
149,9,104,1,"Thursday",19,"October",1995,"cuban liberty and democratic solidarity [libertad] act of 1995","1995-10-19"
150,27,104,2,"Tuesday",5,"March",1996,"cuban liberty and democratic solidarity [libertad] act of 1996-- conference report","1996-03-05"
151,16,104,1,"Thursday",9,"November",1995,"debt limit extension","1995-11-09"
152,16,104,2,"Tuesday",4,"June",1996,"defend america act of 1996--motion to proceed","1996-06-04"
153,24,104,1,"Friday",19,"May",1995,"defense and budget issues","1995-05-19"
154,6,104,2,"Wednesday",18,"September",1996,"defense appropriations bill and international military commitments","1996-09-18"
155,26,104,2,"Tuesday",10,"September",1996,"defense of marriage act","1996-09-10"
156,32,104,1,"Thursday",28,"September",1995,"department of commerce, justice, and state, the judiciary, and related agencies appropriations act, 1996","1995-09-28"
157,33,104,1,"Thursday",10,"August",1995,"department of defense appropriations act 1996","1995-08-10"
158,14,104,1,"Thursday",10,"August",1995,"department of defense appropriations act, 1996","1995-08-10"
159,11,104,1,"Friday",11,"August",1995,"department of defense appropriations act, 1996","1995-08-11"
160,18,104,1,"Thursday",16,"November",1995,"department of defense appropriations act, 1996--conference report","1995-11-16"
161,6,104,2,"Thursday",11,"July",1996,"department of defense appropriations for 1997","1996-07-11"
162,41,104,2,"Wednesday",17,"July",1996,"department of defense appropriations for fiscal year 1997","1996-07-17"
163,10,104,2,"Thursday",18,"July",1996,"department of defense appropriations for fiscal year 1997","1996-07-18"
164,16,104,1,"Thursday",28,"September",1995,"department of labor, health and human services and education and related agencies appropriations act, 1996","1995-09-28"
165,18,104,1,"Thursday",14,"December",1995,"department of the interior and related agencies appropriations act, 1996--conference report","1995-12-14"
166,10,104,2,"Monday",16,"September",1996,"department of the interior and related agencies appropriations act, 1997","1996-09-16"
167,7,104,2,"Tuesday",17,"September",1996,"department of the interior and related agencies appropriations act, 1997","1996-09-17"
168,18,104,1,"Tuesday",8,"August",1995,"department of the interior appropriations, 1996","1995-08-08"
169,50,104,1,"Wednesday",9,"August",1995,"department of the interior appropriations, 1996","1995-08-09"
170,16,104,1,"Wednesday",9,"August",1995,"department of transportation and related agencies appropriations act, 1996","1995-08-09"
171,13,104,1,"Thursday",10,"August",1995,"department of transportation and related agencies appropriations act, 1996","1995-08-10"
172,7,104,1,"Tuesday",31,"October",1995,"department of transportation and related agencies appropriations act, 1996","1995-10-31"
173,20,104,2,"Tuesday",30,"July",1996,"department of transportation and related agencies appropriations act, 1997","1996-07-30"
174,26,104,2,"Wednesday",31,"July",1996,"department of transportation and related agencies appropriations act, 1997","1996-07-31"
175,12,104,2,"Wednesday",18,"September",1996,"department of transportation and related agencies appropriations act, 1997--conference report","1996-09-18"
176,7,104,1,"Monday",25,"September",1995,"department of veterans affairs and housing and urban development, and independent agencies appropriations act, 1996","1995-09-25"
177,22,104,1,"Tuesday",26,"September",1995,"department of veterans affairs and housing and urban development, and independent agencies appropriations act, 1996","1995-09-26"
178,16,104,1,"Wednesday",27,"September",1995,"department of veterans affairs and housing and urban development, and independent agencies appropriations act, 1996","1995-09-27"
179,26,104,2,"Tuesday",3,"September",1996,"department of veterans affairs and housing and urban development, and independent agencies appropriations act, 1997","1996-09-03"
180,26,104,2,"Wednesday",4,"September",1996,"department of veterans affairs and housing and urban development, and independent agencies appropriations act, 1997","1996-09-04"
181,39,104,2,"Thursday",5,"September",1996,"department of veterans affairs and housing and urban development, and independent agencies appropriations act, 1997","1996-09-05"
182,36,104,1,"Thursday",7,"December",1995,"departments of commerce, justice, and state, the judiciary, and related agencies appropriations act, 1996--conference report","1995-12-07"
183,11,104,1,"Friday",15,"December",1995,"departments of labor, health and human services, and education, and related agencies appropriations act, 1996","1995-12-15"
184,5,104,1,"Tuesday",26,"September",1995,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1966","1995-09-26"
185,39,104,1,"Tuesday",26,"September",1995,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1996","1995-09-26"
186,32,104,1,"Wednesday",27,"September",1995,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1996","1995-09-27"
187,20,104,1,"Thursday",14,"December",1995,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1996--conference report","1995-12-14"
188,10,104,2,"Wednesday",4,"September",1996,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1997","1996-09-04"
189,20,104,2,"Thursday",5,"September",1996,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1997","1996-09-05"
190,12,104,2,"Wednesday",25,"September",1996,"departments of veterans affairs and housing and urban development, and independent agencies appropriations act, 1997--conference report","1996-09-25"
191,5,104,1,"Tuesday",8,"August",1995,"digital performance right in sound recordings","1995-08-08"
192,22,104,1,"Wednesday",20,"December",1995,"directing the senate legal counsel to bring a civil action","1995-12-20"
193,19,104,2,"Tuesday",27,"February",1996,"district of columbia appropriations act, 1996--conference report","1996-02-27"
194,5,104,2,"Thursday",29,"February",1996,"district of columbia appropriations act, 1996--conference report","1996-02-29"
195,6,104,2,"Tuesday",5,"March",1996,"district of columbia appropriations act, 1996--conference report","1996-03-05"
196,9,104,1,"Friday",22,"September",1995,"district of columbia appropriations for fiscal year 1996","1995-09-22"
197,8,104,2,"Monday",29,"April",1996,"drug use in america","1996-04-29"
198,5,104,2,"Monday",22,"April",1996,"earth day, 1996: a different shade of green","1996-04-22"
199,5,104,2,"Monday",22,"April",1996,"earth day and the environment","1996-04-22"
200,14,104,1,"Wednesday",29,"March",1995,"emergency supplemental appropriations act","1995-03-29"
201,27,104,1,"Thursday",30,"March",1995,"emergency supplemental appropriations act","1995-03-30"
202,9,104,1,"Friday",31,"March",1995,"emergency supplemental appropriations act","1995-03-31"
203,12,104,1,"Monday",3,"April",1995,"emergency supplemental appropriations act","1995-04-03"
204,14,104,1,"Tuesday",4,"April",1995,"emergency supplemental appropriations act","1995-04-04"
205,39,104,1,"Thursday",6,"April",1995,"emergency supplemental appropriations act","1995-04-06"
206,6,104,1,"Wednesday",8,"March",1995,"emergency supplemental appropriations and rescissions act","1995-03-08"
207,21,104,1,"Thursday",9,"March",1995,"emergency supplemental appropriations and rescissions act","1995-03-09"
208,18,104,1,"Wednesday",15,"March",1995,"emergency supplemental appropriations and rescissions act","1995-03-15"
209,38,104,1,"Thursday",16,"March",1995,"emergency supplemental appropriations and rescissions act","1995-03-16"
210,21,104,1,"Tuesday",7,"March",1995,"emergency supplemental appropriations and rescissions act of 1995","1995-03-07"
211,13,104,1,"Wednesday",8,"March",1995,"emergency supplemental appropriations and rescissions act of 1995","1995-03-08"
212,7,104,1,"Friday",10,"March",1995,"emergency supplemental appropriations and rescissions act of 1995","1995-03-10"
213,5,104,1,"Friday",30,"June",1995,"emergency supplemental appropriations for additional disaster rescissions act, 1995","1995-06-30"
214,13,104,1,"Friday",21,"July",1995,"emergency supplemental appropriations for additional disaster rescissions act, 1995","1995-07-21"
215,5,104,2,"Monday",9,"September",1996,"employment nondiscrimination act","1996-09-09"
216,13,104,2,"Friday",6,"September",1996,"employment nondiscrimi- nation act of 1996","1996-09-06"
217,15,104,2,"Tuesday",10,"September",1996,"employment nondiscrimination act of 1996","1996-09-10"
218,26,104,1,"Tuesday",1,"August",1995,"energy and water development appropriations","1995-08-01"
219,14,104,1,"Tuesday",1,"August",1995,"energy and water develop- ment appropriations, 1996","1995-08-01"
220,11,104,1,"Tuesday",1,"August",1995,"energy and water development appropriations, 1996","1995-08-01"
221,11,104,2,"Monday",29,"July",1996,"energy and water development appropriations act, 1977","1996-07-29"
222,13,104,1,"Tuesday",31,"October",1995,"energy and water development appropriations act, 1996--conference report","1995-10-31"
223,14,104,2,"Friday",26,"July",1996,"energy and water development appropriations act, 1997","1996-07-26"
224,6,104,2,"Monday",29,"July",1996,"energy and water development appropriations act, 1997","1996-07-29"
225,23,104,2,"Tuesday",30,"July",1996,"energy and water development appropriations act, 1997","1996-07-30"
226,8,104,2,"Tuesday",17,"September",1996,"energy and water development appropriations act, 1997--conference report","1996-09-17"
227,10,104,1,"Wednesday",17,"May",1995,"establishing a special committee to investigate whitewater development corp. and other matters","1995-05-17"
228,10,104,2,"Friday",27,"September",1996,"everglades restoration provision","1996-09-27"
229,5,104,1,"Tuesday",10,"January",1995,"executive session","1995-01-10"
230,7,104,1,"Thursday",2,"March",1995,"executive session","1995-03-02"
231,7,104,1,"Monday",8,"May",1995,"executive session","1995-05-08"
232,30,104,1,"Thursday",22,"June",1995,"executive session","1995-06-22"
233,5,104,1,"Thursday",14,"December",1995,"executive session","1995-12-14"
234,22,104,2,"Thursday",20,"June",1996,"executive session","1996-06-20"
235,5,104,2,"Friday",2,"August",1996,"executive session","1996-08-02"
236,10,104,2,"Wednesday",25,"September",1996,"executive session","1996-09-25"
237,64,104,1,"Wednesday",13,"December",1995,"expressing opposition of congress to president clinton's planned deployment of ground forces to bosnia","1995-12-13"
238,9,104,2,"Thursday",21,"March",1996,"expressing the sense of the congress that the united states is committed to military stability in taiwan strait","1996-03-21"
239,5,104,1,"Wednesday",17,"May",1995,"extended use of medicare selected policies","1995-05-17"
240,17,104,1,"Monday",7,"August",1995,"family self-sufficiency act","1995-08-07"
241,14,104,1,"Tuesday",8,"August",1995,"family self-sufficiency act","1995-08-08"
242,29,104,1,"Thursday",7,"September",1995,"family self-sufficiency act","1995-09-07"
243,21,104,1,"Friday",8,"September",1995,"family self-sufficiency act","1995-09-08"
244,15,104,1,"Monday",11,"September",1995,"family self-sufficiency act","1995-09-11"
245,31,104,1,"Tuesday",12,"September",1995,"family self-sufficiency act","1995-09-12"
246,38,104,1,"Wednesday",13,"September",1995,"family self-sufficiency act","1995-09-13"
247,42,104,1,"Thursday",14,"September",1995,"family self-sufficiency act","1995-09-14"
248,19,104,1,"Friday",15,"September",1995,"family self-sufficiency act","1995-09-15"
249,39,104,1,"Tuesday",19,"September",1995,"family self-sufficiency act","1995-09-19"
250,7,104,2,"Monday",8,"July",1996,"fbi files at the white house","1996-07-08"
251,5,104,2,"Thursday",3,"October",1996,"federal assistance for indian tribes","1996-10-03"
252,16,104,2,"Tuesday",17,"September",1996,"federal aviation administration programs reauthorization","1996-09-17"
253,5,104,2,"Wednesday",2,"October",1996,"federal aviation administration--reauthorization conference report","1996-10-02"
254,9,104,2,"Thursday",3,"October",1996,"federal aviation administration reauthorization--conference report","1996-10-03"
255,19,104,2,"Wednesday",18,"September",1996,"federal aviation reauthorization act of 1996","1996-09-18"
256,8,104,2,"Tuesday",1,"October",1996,"federal aviation reauthorization--conference report","1996-10-01"
257,7,104,1,"Saturday",5,"August",1995,"federal employees benefit program","1995-08-05"
258,6,104,1,"Thursday",9,"February",1995,"federal lands act forest health amendments of 1995","1995-02-09"
259,12,104,1,"Friday",8,"December",1995,"flag desecration constitutional amendment","1995-12-08"
260,8,104,1,"Monday",11,"December",1995,"flag desecration constitutional amendment","1995-12-11"
261,26,104,1,"Tuesday",12,"December",1995,"flag desecration constitutional amendment","1995-12-12"
262,7,104,1,"Wednesday",6,"December",1995,"flag desecration constitutional amendment--motion to proceed","1995-12-06"
263,29,104,2,"Thursday",25,"July",1996,"foreign operations, export financing, and related program appropriations act, 1997","1996-07-25"
264,32,104,1,"Wednesday",20,"September",1995,"foreign operations, export financing, and related programs appropriations act, 1996","1995-09-20"
265,6,104,1,"Wednesday",15,"November",1995,"foreign operations, export financing, and related programs appropriations act, 1996","1995-11-15"
266,45,104,2,"Thursday",25,"July",1996,"foreign operations, export financing, and related programs appropriations act, 1997","1996-07-25"
267,10,104,2,"Friday",26,"July",1996,"foreign operations, export financing, and related programs appropriations act, 1997","1996-07-26"
268,5,104,1,"Wednesday",1,"November",1995,"foreign operations, export financing, and related programs appropriations act--conference report","1995-11-01"
269,17,104,1,"Wednesday",1,"November",1995,"foreign operations, export financing, and related programs conference report","1995-11-01"
270,20,104,2,"Thursday",28,"March",1996,"foreign relations authorization act, fiscal years 1996 and 1997-- conference report","1996-03-28"
271,18,104,1,"Monday",31,"July",1995,"foreign relations revitalization act","1995-07-31"
272,6,104,1,"Tuesday",1,"August",1995,"foreign relations revitalization act","1995-08-01"
273,13,104,1,"Thursday",14,"December",1995,"foreign relations revitalization act","1995-12-14"
274,8,104,2,"Friday",3,"May",1996,"freedom from burdensome taxes","1996-05-03"
275,6,104,1,"Tuesday",25,"April",1995,"freshman focus","1995-04-25"
276,5,104,1,"Thursday",29,"June",1995,"freshman thoughts on the budget","1995-06-29"
277,8,104,1,"Thursday",16,"November",1995,"further continuing appropriations for fiscal year 1996","1995-11-16"
278,21,104,1,"Thursday",16,"November",1995,"further continuing appropriations for the fiscal year 1996","1995-11-16"
279,5,104,1,"Sunday",19,"November",1995,"further continuing appropriations for the fiscal year 1996","1995-11-19"
280,6,104,2,"Friday",29,"March",1996,"further continuing appropriations--house joint resolution 170","1996-03-29"
281,13,104,1,"Thursday",16,"November",1995,"futher continuing appropriations for the fiscal year 1996","1995-11-16"
282,6,104,2,"Monday",13,"May",1996,"gas tax and the budget","1996-05-13"
283,7,104,2,"Friday",12,"July",1996,"getting america's business done","1996-07-12"
284,5,104,2,"Thursday",1,"August",1996,"good economic news","1996-08-01"
285,6,104,2,"Thursday",12,"September",1996,"guns and domestic abuse","1996-09-12"
286,15,104,1,"Wednesday",4,"January",1995,"health care","1995-01-04"
287,8,104,2,"Friday",21,"June",1996,"health care reform","1996-06-21"
288,33,104,2,"Friday",2,"August",1996,"health insurance portability and accountability act of 1996--conference report","1996-08-02"
289,6,104,2,"Friday",28,"June",1996,"health insurance reform","1996-06-28"
290,61,104,2,"Thursday",18,"April",1996,"health insurance reform act","1996-04-18"
291,13,104,2,"Tuesday",23,"April",1996,"health insurance reform act","1996-04-23"
292,5,104,1,"Monday",6,"November",1995,"honoring the life and legacy of yitzhak rabin","1995-11-06"
293,7,104,1,"Wednesday",6,"December",1995,"housing for older persons act","1995-12-06"
294,19,104,1,"Wednesday",29,"March",1995,"howell heflin","1995-03-29"
295,5,104,1,"Tuesday",28,"March",1995,"how to proceed on welfare reform","1995-03-28"
